,BbMf_PPema_05_S9.counts.cut.txt,BbMf_PPema_07_S11.counts.cut.txt,BbMf_PPema_08_S12.counts.cut.txt,BbSf_PScoc_05_S13.counts.cut.txt,BbSf_PScoc_06_S14.counts.cut.txt,BbSf_PScoc_07_S15.counts.cut.txt,EnMf_PPema_09_S17.counts.cut.txt,EnMf_PPema_10_sub_S18.counts.cut.txt,EnMf_PPema_12_S20.counts.cut.txt,EnSf_Pscoc_09_S21.counts.cut.txt,EnSf_Pscoc_11_S23.counts.cut.txt,EnSf_Pscoc_12_S24.counts.cut.txt,UF_PPema_02_S2.counts.cut.txt,UF_PPema_03_S3.counts.cut.txt,UF_PPema_04_S4.counts.cut.txt,UF_PScoc_02_S6.counts.cut.txt,UF_PScoc_03_S7.counts.cut.txt,UF_PScoc_04_S8.counts.cut.txt
LOC115319436,0,0,0,0,0,0,0,0,0,0,0,0,2.114616,0,0,0,0,0
LOC115319437,0,0,0,0,0,0,0,0,0,0,2.925101,0,0,0,0,0,0,0
LOC8034540,0,0,0,0,2.273607,0,0,0,0,0,0,0,0,0,0,0,0,0.469131
LOC115319424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319425,0,0,1.619878,3.361815,0.757869,0,18.43505,1.66742,0,0,0,0,0,2.028281,5.466146,1.950014,0.8020607,0.938262
LOC115319426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8034546,0,0,0,0,0,12.91919,0,0,0,0,14.6255,0,0,0,0,0,0,0
LOC115319427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trnas-aga_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8034548,0,0,0,0,0,0,0,0,0,0,0,0,11.98283,0,0,0,0,0
LOC115319429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319430,0,0,0,0,0,0,18.43505,0,0,0,0,0,0,0,0,0,0,0
LOC115319431,0,2.296314,0,3.667435,0,0,0,0,0,4.34055,0,0,0,0,0,0,0,0
LOC115319432,0,2.296314,16.19878,3.973055,0,0,23.04381,0,0,49.1929,0,0,0,0.6760936,0,0,4.010303,0
LOC115319433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6832683,0,0,0
LOC8034551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222179
LOC8034552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8034553,2602.261,3828.415,2771.611,3077.284,3403.59,2439.574,2451.861,3398.202,2049.138,3689.468,2443.922,2035.908,50.7508,45.97437,94.97429,45.50033,24.86388,23.92568
LOC8034555,265.7482,212.6387,294.8178,323.3455,215.9927,182.3041,110.6103,213.4298,151.6779,208.3464,298.3603,292.3464,372.8774,429.3195,416.7936,515.4538,545.4012,435.8227
LOC8034556,41.4153,59.2449,178.1866,54.09467,87.15494,66.03142,18.43505,91.7081,139.7816,128.7697,36.56376,35.75459,94.45287,89.92045,145.5361,108.5508,174.8492,129.9493
LOC8034557,125.9715,73.94131,93.95292,63.26325,60.62952,116.9905,32.26134,53.35744,121.9371,93.32183,54.11436,39.96101,87.40415,86.53998,73.1097,66.95049,118.705,68.96226
LOC115319421,105.2639,39.4966,21.05841,40.03617,28.79902,41.6285,4.608762,36.68324,11.8963,45.57578,34.36993,37.8578,28.89976,43.26999,30.74707,50.70037,79.404,84.44358
Trnam-cau_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8030113,0,0,0,5.806772,0,0,0,0,0,0,0,0,2.114616,5.408749,0,22.10016,12.03091,0
LOC8030112,5.176912,0,4.859634,5.195533,12.88377,0,64.52267,16.6742,47.58521,0,0,2.103211,20.44129,26.36765,12.9821,14.30011,11.22885,7.975227
LOC8030110,8.628187,34.90397,35.63731,44.31484,21.22033,10.04826,36.8701,40.01808,26.76668,30.38385,27.78846,86.23166,62.73362,131.1622,64.22722,57.85043,52.936,36.59222
LOC8030109,34.51275,59.70416,82.61377,93.21397,97.00723,100.4826,152.0892,106.7149,53.53336,219.1978,63.62094,210.3211,37.35822,7.43703,6.149414,1.30001,0,6.567834
LOC115319440,124.2459,142.3715,92.33304,186.4279,121.259,111.9663,55.30515,128.3913,347.9669,245.2411,125.7793,208.2179,12.6877,25.69156,64.22722,27.3002,0.8020607,45.50571
LOC8030118,39.68966,12.4001,4.859634,23.53271,26.52542,14.35466,55.30515,8.3371,0,15.91535,5.118926,0,160.7109,153.4733,148.9525,137.801,85.01843,47.38223
LOC115319446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8039526,0,3.21484,0,10.69669,2.273607,16.50785,13.82629,6.66968,0,0,0,0,0,0,0,0,0,0
LOC8053815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8053813,691.9806,541.0116,495.6826,689.4778,682.84,584.2345,313.3958,485.2192,463.9558,449.9704,547.7251,666.7179,770.4253,839.0322,750.2286,752.0555,777.9988,733.7209
LOC8030126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.975227
LOC8038576,264.0225,308.6246,234.8823,301.0353,383.4817,406.9545,419.3974,356.8279,136.8075,316.1367,303.4792,321.7913,356.6653,446.2218,330.7018,185.9014,255.8573,353.7248
LOC8038575,72.47677,22.50388,11.33915,48.59351,7.57869,10.76599,0,11.67194,17.84445,33.27755,8.044027,84.12845,49.34105,31.7764,57.39453,38.35028,47.32158,48.32049
LOC8032569,357.207,583.723,505.4019,200.7921,808.6462,334.4635,677.488,598.6038,526.4114,554.1436,881.1866,609.9312,76.83106,91.94873,84.72527,91.00067,145.975,70.83878
Trnaf-gaa_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8032564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319459,0,0,0,0,0,0,0,0,0,0,0,0,0,11.49359,0,0,0,0
LOC115319448,46.59221,0,0,0,0,0,0,8.3371,0,0,0,0,21.14616,32.45249,15.71517,70.20052,44.11334,2.345655
LOC115319460,0,0,0,4.889913,27.28328,12.20146,0,8.3371,0,0,1.46255,39.96101,25.3754,35.15687,47.14551,58.50043,68.97722,10.79001
LOC115319443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319449,0,7.807468,0,1.833717,0,0,0,0,0,0,3.656376,0,7.048722,18.25453,0,9.100067,5.614425,17.35785
Trnat-ggu_50,0,0.4592628,0,1.833717,0.757869,0,0,5.00226,0,0,0,0,0,0,0,0,0,0
Trnat-ugu_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319463,0,0,0,0,0,0,0,1.66742,0,0,0,0,0,0,0,0,0,0
LOC115319450,0,0,0,0,0,0,0,0,0,0,0,0,0,5.408749,0,0,0,0
LOC115319464,13.8051,0,0,0,0,0,0,6.66968,0,0,0,0,0,0,0,0,0,0
LOC115319465,0,0,0,0,0,0,0,1.66742,0,0,0,10.51606,0,0,0,1.30001,0,0
LOC115319466,0,0,0,0,0,0,0,0,0,0,0,0,12.6877,0,0,0,0,0
LOC115319451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319452,0,3.21484,0,0,5.305083,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8027306,198.4483,400.9364,236.5022,190.0954,258.4333,207.4248,424.0061,313.475,475.8521,258.9862,254.4838,166.1537,176.9229,118.3164,122.305,114.4008,100.2576,58.64137
Trnas-aga_31,0,0,0,0,0,0,0,3.33484,0,0,21.93826,0,0,0,0,0,0,0
LOC8027295,267.4738,177.7347,84.23365,188.2617,194.7723,196.6588,327.2221,141.7307,199.2631,224.2618,214.9949,222.9404,241.0663,233.2523,350.5166,139.101,266.2841,127.6036
LOC115319444,0,0,0,0.9168587,0,0,0,8.3371,0,0,0,0,0,20.28281,5.466146,17.55013,1.604121,17.35785
LOC8027297,0,15.61494,8.09939,17.42032,5.305083,0,0,11.67194,0,13.74508,47.53289,21.03211,0,5.408749,0,0,32.88449,0
LOC8027301,1746.345,4057.128,4044.835,4038.763,3688.548,3844.177,3184.655,2617.849,3161.443,4587.962,2056.346,1955.986,315.0779,406.3323,283.5563,438.7532,464.3931,630.0429
LOC8027304,43.14094,59.70416,113.3915,67.54193,153.8474,113.4018,110.6103,76.70132,127.8853,162.7706,69.47114,67.30276,24.67053,73.01811,55.34473,61.10045,53.73806,57.23398
LOC115319454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trnas-gga_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319445,0,0.4592628,0,0,0,10.76599,0,0,0,0,0,0,0,0,0,0,0.8020607,0
LOC115319456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469131
LOC8042023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC8044157,1151,1590.427,1357.458,2304.372,1367.196,1328.523,2682.3,2085.942,1219.371,2660.034,2060.733,1674.156,9.86821,16.22625,4.782878,91.00067,28.87418,10.79001
LOC115319473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.199219,0,0,0
LOC115319475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC115319476,0,0,0,0,0,3.588664,0,15.00678,59.48152,0,12.43168,4.206422,36.65335,27.04375,12.9821,26.6502,52.13394,34.71569
LOC115319481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
